imd_rainfall_mm,imd_rainfall_mm_log1p,rain_intensity_class,cloudburst_flag,landslide_risk
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.7136537432670593,0.5386277830037771,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
0.883215069770813,0.6329804597066054,0,0,0
